SUMLEV,COUNTY,PLACE,PRIMGEO_FLAG,NAME,POPTYPE,YEAR,POPULATION
162,0,6000,0,Biscoe town,CENSUSPOP,2010,1700
162,0,6000,0,Biscoe town,ESTIMATESBASE,2010,1699
162,0,6000,0,Biscoe town,POPESTIMATE,2010,1696
162,0,6000,0,Biscoe town,POPESTIMATE,2011,1695
162,0,6000,0,Biscoe town,POPESTIMATE,2012,1685
162,0,6000,0,Biscoe town,POPESTIMATE,2013,1685
162,0,6000,0,Biscoe town,POPESTIMATE,2014,1676
162,0,6000,0,Biscoe town,POPESTIMATE,2015,1684
162,0,6000,0,Biscoe town,POPESTIMATE,2016,1679
162,0,6000,0,Biscoe town,POPESTIMATE,2017,1678
162,0,6080,0,Black Creek town,CENSUSPOP,2010,769
162,0,6080,0,Black Creek town,ESTIMATESBASE,2010,767
162,0,6080,0,Black Creek town,POPESTIMATE,2010,767
162,0,6080,0,Black Creek town,POPESTIMATE,2011,766
162,0,6080,0,Black Creek town,POPESTIMATE,2012,768
162,0,6080,0,Black Creek town,POPESTIMATE,2013,768
162,0,6080,0,Black Creek town,POPESTIMATE,2014,766
162,0,6080,0,Black Creek town,POPESTIMATE,2015,767
